INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ]  step 94
INFO:root:[ iteration ] l2-l1  -964880.587 - -964901.442 = 20.855 
INFO:root:[ iteration ]  step 95
INFO:root:[ iteration ] l2-l1  -964861.490 - -964880.587 = 19.097 
INFO:root:[ iteration ] End EM 
INFO:root:z = 4 eps = -964861.489543
INFO:root:Topic 0
INFO:root:web : 0.049629 
INFO:root:information : 0.032693 
INFO:root:semantic : 0.026749 
INFO:root:data : 0.019081 
INFO:root:support : 0.017160 
INFO:root:extraction : 0.014075 
INFO:root:mining : 0.013234 
INFO:root:approach : 0.011866 
INFO:root:vector : 0.011720 
INFO:root:ontology : 0.011272 
INFO:root:Topic 1
INFO:root:systems : 0.030930 
INFO:root:planning : 0.022406 
INFO:root:model : 0.017768 
INFO:root:logic : 0.017272 
INFO:root:agent : 0.016343 
INFO:root:reasoning : 0.016169 
INFO:root:multi-agent : 0.015863 
INFO:root:knowledge : 0.015273 
INFO:root:design : 0.010718 
INFO:root:programming : 0.010168 
INFO:root:Topic 2
INFO:root:agents : 0.031088 
INFO:root:management : 0.013195 
INFO:root:intelligent : 0.012530 
INFO:root:negotiation : 0.012218 
INFO:root:techniques : 0.010730 
INFO:root:development : 0.010412 
INFO:root:user : 0.009892 
INFO:root:interactive : 0.009137 
INFO:root:integrating : 0.009137 
INFO:root:adaptive : 0.008852 
INFO:root:Topic 3
INFO:root:learning : 0.074507 
INFO:root:models : 0.014772 
INFO:root:networks : 0.014337 
INFO:root:selection : 0.013884 
INFO:root:data : 0.011854 
INFO:root:machine : 0.011158 
INFO:root:feature : 0.010787 
INFO:root:bayesian : 0.010438 
INFO:root:probabilistic : 0.009719 
INFO:root:classification : 0.008056 
INFO:root:[ iteration ]  step 1
INFO:root:[ iteration ] l2-l1  -997642.033 - -195110.241 = -802531.792 
INFO:root:[ iteration ]  step 2
INFO:root:[ iteration ] l2-l1  -993669.826 - -997642.033 = 3972.208 
INFO:root:[ iteration ]  step 3
INFO:root:[ iteration ] l2-l1  -989102.434 - -993669.826 = 4567.392 
INFO:root:[ iteration ]  step 4
INFO:root:[ iteration ] l2-l1  -984369.225 - -989102.434 = 4733.209 
INFO:root:[ iteration ]  step 5
INFO:root:[ iteration ] l2-l1  -980147.017 - -984369.225 = 4222.208 
INFO:root:[ iteration ]  step 6
